strategy_name,signal_split,source_subtype,prediction_mode,calibration_method,checkpoint_selection_effective_metric,selected_loss,trade_count,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,total_turnover_usd,total_funding_pnl_usd,total_net_pnl_usd
combined_funding_spread,train,rule_based,static,none,,,46,0.0,0.0,-31.603368863406647,-32.34600240551922,1.0,1.0,46,1840000.0,0.0,-1453.7549677167058
combined_funding_spread,validation,rule_based,static,none,,,3,0.0,0.0,-31.555760587303904,-32.34321735016798,1.0,1.0,3,120000.0,0.0,-94.66728176191171
elastic_net_regression,train,baseline_linear,static,none,,,6,0.6666666666666666,8.496974139873544,33.40012014313259,6.360310786885973,2.1666666666666665,2.0,1,240000.0,0.0,200.40072085879552
funding_threshold_2bps,train,rule_based,static,none,,,200,0.0,0.0,-33.92335925881071,-33.93325297114201,1.0,1.0,200,8000000.0,0.0,-6784.671851762143
funding_threshold_2bps,validation,rule_based,static,none,,,9,0.0,0.0,-33.60476111663922,-33.974804839710984,1.0,1.0,9,360000.0,0.0,-302.44285004975296
logistic_l1,train,baseline_linear,static,none,,,433,0.016166281755196306,0.01911291081209406,-28.947747099206072,-30.634579309394994,2.5242494226327943,1.0,133,17320000.0,363.8462,-12534.37449395623
logistic_l1,validation,baseline_linear,static,none,,,13,0.0,0.0,-32.67478005086582,-34.03580929299562,1.1538461538461537,1.0,13,520000.0,3.1856,-424.77214066125566
logistic_regression,train,baseline_linear,static,sigmoid,,,1,1.0,inf,121.5041872519675,121.5041872519675,1.0,1.0,0,40000.0,0.0,121.5041872519675
ridge_regression,train,baseline_linear,static,none,,,20,0.25,1.131910834365771,1.5718618744441495,-12.026943750122609,1.55,1.0,11,800000.0,61.41250000000001,31.43723748888299
spread_zscore_1p5,test,rule_based,static,none,,,200,0.0,0.0,-32.37426892697597,-32.56414006936874,1.185,1.0,200,8000000.0,7.913600000000001,-6474.853785395195
spread_zscore_1p5,train,rule_based,static,none,,,700,0.007142857142857143,0.01697360220948408,-30.29208038053621,-31.821550929930368,1.4114285714285715,1.0,570,28000000.0,70.59299999999999,-21204.456266375346
spread_zscore_1p5,validation,rule_based,static,none,,,157,0.0,0.0,-32.00775406577259,-32.56376941423379,1.375796178343949,1.0,157,6280000.0,21.0287,-5025.217388326297
