strategy_name,signal_split,source_subtype,prediction_mode,calibration_method,checkpoint_selection_effective_metric,selected_loss,trade_count,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,total_turnover_usd,total_funding_pnl_usd,total_net_pnl_usd
gru_direction__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,661,0.0,0.0,-32.607223385932116,-32.73327050476536,1.4826021180030258,1.0,661,26440000.0,14.542100000000001,-21553.37465810113
gru_direction__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,2190,0.0018264840182648401,0.003119156905358391,-31.423080576344095,-32.05405391913034,1.5269406392694065,1.0,1230,87600000.0,241.68949999999998,-68816.54646219357
gru_direction__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,438,0.0,0.0,-32.32280167043438,-32.51475425499078,1.5844748858447488,1.0,438,17520000.0,67.73320000000001,-14157.38713165026
gru_direction__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1835,0.0,0.0,-32.86304595954368,-32.93930885056097,1.9732970027247956,1.0,1835,73400000.0,33.625099999999996,-60303.689335762654
gru_direction__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,6053,0.001321658681645465,0.0018636996108001283,-31.88172187558871,-32.41562671337766,2.754832314554766,2.0,3085,242120000.0,1293.7326,-192980.06251293846
gru_direction__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1272,0.0,0.0,-32.5535308155038,-32.703949353665166,2.5770440251572326,1.0,1272,50880000.0,229.4038,-41408.09119732083
gru_gross__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,601,0.0,0.0,-32.53874097746461,-32.63554629867687,1.5474209650582362,1.0,601,24040000.0,37.4129,-19555.783327456233
gru_gross__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1883,0.002124269782262347,0.002366711116665169,-31.26689775786554,-31.993925736306934,1.8677642060541688,1.0,874,75320000.0,446.64570000000003,-58875.56847806081
gru_gross__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,406,0.0,0.0,-32.26761966650492,-32.47188084356487,1.7266009852216748,1.0,406,16240000.0,66.85210000000001,-13100.653584600997
gru_gross__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1279,0.0,0.0,-32.67257313255525,-32.76530493521553,2.116497263487099,1.0,1279,51160000.0,94.72819999999999,-41788.22103653816
gru_gross__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,4743,0.0018975332068311196,0.001428790471338047,-31.668985421863745,-32.14384855648498,3.5188699135568204,2.0,2323,189720000.0,2031.1032,-150205.99785589974
gru_gross__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1043,0.0,0.0,-32.428753990199624,-32.612947448336314,3.1390220517737295,2.0,1043,41720000.0,319.4389,-33823.19041177821
lstm_direction__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,645,0.0,0.0,-32.69315044837669,-32.84202962914673,1.4930232558139536,1.0,645,25800000.0,4.532,-21087.082039202967
lstm_direction__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,2132,0.0023452157598499064,0.003674669850996947,-31.470026444788864,-32.117244916754814,1.5666041275797373,1.0,989,85280000.0,222.2879,-67094.09638028986
lstm_direction__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,431,0.0,0.0,-32.36555958220955,-32.54056984633877,1.7076566125290022,1.0,431,17240000.0,53.1774,-13949.556179932315
lstm_direction__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1881,0.0,0.0,-32.87104394045519,-32.955399670540785,2.195640616693248,1.0,1881,75240000.0,24.555899999999998,-61830.43365199621
lstm_direction__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,6078,0.0009871668311944718,0.0019539527895423986,-31.87109608637364,-32.38200545645893,2.815728858177032,2.0,3053,243120000.0,1116.6923000000002,-193712.522012979
lstm_direction__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1237,0.0,0.0,-32.49124546783752,-32.65835499735401,2.6499595796281326,2.0,1237,49480000.0,226.76029999999997,-40191.67064371501
lstm_gross__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,578,0.0,0.0,-32.510955083048216,-32.655921306376,1.6608996539792387,1.0,578,23120000.0,37.529,-18791.33203800187
lstm_gross__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1681,0.001189767995240928,0.0024255710770616163,-31.157551743647705,-31.936188814015196,2.093396787626413,1.0,1447,67240000.0,533.2047,-52375.84448107179
lstm_gross__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,372,0.0,0.0,-32.122766362535124,-32.40404429818426,1.913978494623656,1.0,372,14880000.0,87.262,-11949.669086863065
lstm_gross__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1249,0.0,0.0,-32.61668375293505,-32.732163187827695,2.1793434747798237,1.0,1249,49960000.0,83.9396,-40738.23800741588
lstm_gross__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,4419,0.002036659877800407,0.0008274693820206568,-31.579975853043,-32.03989469115062,3.9633401221995928,2.0,3223,176760000.0,2017.3214000000003,-139551.913294597
lstm_gross__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,977,0.0,0.0,-32.33395683926006,-32.49453664482748,3.339815762538383,2.0,977,39080000.0,317.2953,-31590.27583195708
tcn_direction__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,662,0.0,0.0,-32.63637698613126,-32.80895207181881,1.3972809667673716,1.0,662,26480000.0,0.6438999999999997,-21605.281564818895
tcn_direction__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,2178,0.0032139577594123047,0.005456209303516429,-31.260794321578928,-32.07187649104533,1.54178145087236,1.0,1016,87120000.0,372.68910000000005,-68086.0100323989
tcn_direction__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,485,0.0,0.0,-32.474337498979416,-32.672375378794456,1.4494845360824742,1.0,485,19400000.0,46.95439999999999,-15750.053687005016
tcn_direction__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1905,0.0,0.0,-32.96637006566347,-33.03949062513968,2.272965879265092,1.0,1905,76200000.0,-5.961700000000001,-62800.93497508891
tcn_direction__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,5789,0.0012091898428053204,0.000974134049630644,-31.85477778436321,-32.37724114643433,2.96199689065469,2.0,2692,231560000.0,1647.7024999999999,-184407.30859367864
tcn_direction__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1332,0.0,0.0,-32.700373256698526,-32.84060518038883,2.460960960960961,1.0,1332,53280000.0,203.6815,-43556.89717792244
tcn_gross__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,649,0.0,0.0,-32.625049989416055,-32.7330281278136,1.4776579352850538,1.0,649,25960000.0,38.856100000000005,-21173.657443131022
tcn_gross__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1960,0.002551020408163265,0.006752464969156367,-31.066007542129288,-31.99600929112492,1.6974489795918368,1.0,938,78400000.0,442.46680000000003,-60889.3747825734
tcn_gross__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,441,0.0,0.0,-32.27428495671326,-32.495438151613484,1.5873015873015872,1.0,441,17640000.0,60.7201,-14232.959665910548
tcn_gross__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1307,0.0,0.0,-32.73520355054026,-32.839062593626096,1.957918898240245,1.0,1307,52280000.0,97.63380000000001,-42784.91104055612
tcn_gross__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,4572,0.0017497812773403325,0.001438061657740917,-31.565809975161972,-32.02748094716589,3.3031496062992125,2.0,2677,182880000.0,1885.7747,-144318.88320644054
tcn_gross__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,1063,0.0,0.0,-32.50537833251978,-32.66482961758374,3.077140169332079,2.0,1063,42520000.0,303.0058,-34553.21716746853
transformer_direction__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,726,0.0,0.0,-32.682204876576364,-32.80864591394705,1.3085399449035813,1.0,726,29040000.0,11.998000000000001,-23727.28074039444
transformer_direction__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,2401,0.0012494793835901709,0.0022606924694371067,-31.743876925441263,-32.210889691669756,1.3935860058309038,1.0,1308,96040000.0,217.1488,-76217.04849798448
transformer_direction__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,509,0.0,0.0,-32.53505300442574,-32.66101212010176,1.3634577603143418,1.0,509,20360000.0,61.5603,-16560.341979252702
transformer_direction__validation_tuned_balanced_support,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,2021,0.0,0.0,-33.018894147259964,-33.110765713788254,2.1177634834240475,1.0,2021,80840000.0,39.0428,-66731.18507161239
transformer_direction__validation_tuned_balanced_support,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,5957,0.0010072183985227463,0.0010992107218693494,-32.00999229340888,-32.52213584998297,2.7730401208662077,2.0,2804,238280000.0,1316.7655,-190683.5240918367
transformer_direction__validation_tuned_balanced_support,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,bce_with_logits,1356,0.0,0.0,-32.74462815216223,-32.876076985033095,2.419616519174041,1.0,1356,54240000.0,230.79600000000002,-44401.715774331984
transformer_gross__rolling_top_decile_abs,test,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,651,0.0,0.0,-32.535168260981415,-32.676779695274604,1.4055299539170507,1.0,651,26040000.0,32.7688,-21180.3945378989
transformer_gross__rolling_top_decile_abs,train,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,2014,0.0019860973187686196,0.005466146340708312,-31.22036889033753,-31.99173230134627,1.6717974180734856,1.0,922,80560000.0,354.9174,-62877.822945139786
transformer_gross__rolling_top_decile_abs,validation,deep_learning_showcase,static,none,validation_avg_signal_return_bps,huber,426,0.0,0.0,-32.33008967687708,-32.557036925585706,1.5938967136150235,1.0,426,17040000.0,58.6155,-13772.618202349637
