strategy_name,source,source_subtype,task,evaluation_split,status,diagnostic_reason,skip_reason,signal_threshold,signal_threshold_mode,threshold_objective,selected_threshold_objective_value,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,signal_count_by_split,trade_count,active_position_count,cumulative_return,realized_cumulative_return,annualized_return,realized_annualized_return,sharpe_ratio,simple_annualized_sharpe,raw_period_sharpe,autocorr_adjusted_sharpe,realized_sharpe_ratio,max_drawdown,realized_max_drawdown,mark_to_market_max_drawdown,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_trade_pnl_usd,expectancy_per_trade_usd,expectancy_per_trade_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,exposure_time_fraction,average_gross_leverage,max_gross_leverage,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_embedded_slippage_cost_usd,total_funding_pnl_usd,funding_contribution_share,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,realized_final_equity_usd,has_trades
lstm_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.8170695531,validation_avg_signal_return_bps,4.8170695531,False,huber,huber,False,robust,0.01,0.99,"{""test"": 937, ""train"": 3526, ""validation"": 712}",578,578,-0.1879133203800174,-0.18791332038001796,-0.18431694111249342,-0.18431694111249342,-24.17959682640456,-24.17959682640456,-0.2583431805504573,-19.9940437771159,-24.531105494534415,-0.18791332038001873,-0.18791332038001873,-0.18791332038001873,0.0,0.0,-32.510955083048216,-32.655921306376,-32.510955083048216,-32.510955083048216,-32.510955083048216,1.6608996539792387,1.0,578,0.10725058652664507,0.021450117305329013,0.2,23120000.0,11560.0,1156.0,0.0,6935.999999999999,37.529,0.0019971442111769823,-6075.332038001867,-18791.33203800187,81208.66796199813,81208.66796199813,True
gru_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.579850084,validation_avg_signal_return_bps,5.579850084,False,huber,huber,False,robust,0.01,0.99,"{""test"": 930, ""train"": 3523, ""validation"": 701}",601,601,-0.19555783327455867,-0.195557833274563,-0.19183305713860777,-0.19183305713860777,-24.734214761134787,-24.734214761134787,-0.2642689105068835,-20.081595410454415,-25.047128972427057,-0.19555783327456244,-0.19555783327456244,-0.19555783327456244,0.0,0.0,-32.53874097746461,-32.63554629867687,-32.53874097746461,-32.53874097746461,-32.53874097746461,1.5474209650582362,1.0,601,0.10389900569768741,0.020779801139537486,0.2,24040000.0,12020.0,1202.0,0.0,7211.999999999999,37.4129,0.0019131373759634807,-6333.783327456234,-19555.783327456233,80444.21667254376,80444.21667254376,True
lstm_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.6237543044,validation_avg_signal_return_bps,3.6237543044,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 921, ""train"": 3316, ""validation"": 736}",645,645,-0.21087082039202876,-0.21087082039202854,-0.20689342426614965,-0.20689342426614965,-25.74879858451576,-25.74879858451576,-0.2751090752023119,-23.338916388896735,-26.007453902096724,-0.21087082039202976,-0.21087082039202976,-0.21087082039202976,0.0,0.0,-32.69315044837669,-32.84202962914673,-32.69315044837669,-32.69315044837669,-32.69315044837669,1.4930232558139536,1.0,645,0.10758574460954083,0.021517148921908168,0.2,25800000.0,12900.0,1290.0,0.0,7739.999999999999,4.532,0.00021491830835459192,-6897.08203920297,-21087.082039202967,78912.91796079703,78912.91796079703,True
tcn_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.9319322303,validation_avg_signal_return_bps,4.9319322303,False,huber,huber,False,robust,0.01,0.99,"{""test"": 959, ""train"": 3308, ""validation"": 700}",649,649,-0.211736574431308,-0.211736574431311,-0.20774508005892633,-0.20774508005892633,-25.805093878793265,-25.805093878793265,-0.275710553609007,-21.696019048809497,-26.089237188719316,-0.2117365744313101,-0.2117365744313101,-0.2117365744313101,0.0,0.0,-32.625049989416055,-32.7330281278136,-32.625049989416055,-32.625049989416055,-32.625049989416055,1.4776579352850538,1.0,649,0.10713886716567982,0.021427773433135965,0.2,25960000.0,12980.0,1298.0,0.0,7787.999999999998,38.856100000000005,0.0018351151710261266,-6895.657443131019,-21173.657443131022,78826.34255686899,78826.34255686899,True
transformer_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.6140483207,validation_avg_signal_return_bps,5.6140483207,False,huber,huber,False,robust,0.01,0.99,"{""test"": 915, ""train"": 3346, ""validation"": 679}",651,651,-0.21180394537898672,-0.21180394537898906,-0.20781135474661283,-0.20781135474661283,-25.880720380688814,-25.880720380688814,-0.2765185733280234,-23.04901567337722,-26.12909655184521,-0.21180394537898906,-0.21180394537898906,-0.21180394537898906,0.0,0.0,-32.535168260981415,-32.676779695274604,-32.535168260981415,-32.535168260981415,-32.535168260981415,1.4055299539170507,1.0,651,0.10222321528320857,0.020444643056641718,0.2,26040000.0,13020.0,1302.0,0.0,7811.999999999998,32.7688,0.0015471288762523056,-6858.394537898902,-21180.3945378989,78819.6054621011,78819.6054621011,True
gru_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.4702938038,validation_avg_signal_return_bps,3.4702938038,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 938, ""train"": 3305, ""validation"": 694}",661,661,-0.21553374658101065,-0.21553374658101188,-0.2114806525484434,-0.2114806525484434,-26.080968244525312,-26.080968244525312,-0.2786580908068865,-25.005148678827968,-26.34759752248596,-0.21553374658101132,-0.21553374658101132,-0.21553374658101132,0.0,0.0,-32.607223385932116,-32.73327050476536,-32.607223385932116,-32.607223385932116,-32.607223385932116,1.4826021180030258,1.0,661,0.10948497374595018,0.02189699474919004,0.2,26440000.0,13220.0,1322.0,0.0,7931.999999999998,14.542100000000001,0.0006747017685480708,-7011.37465810113,-21553.37465810113,78446.62534189886,78446.62534189886,True
tcn_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.5469888183,validation_avg_signal_return_bps,3.5469888183,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 902, ""train"": 3298, ""validation"": 703}",662,662,-0.21605281564818624,-0.21605281564819057,-0.21199133079529286,-0.21199133079529286,-26.117825554458687,-26.117825554458687,-0.2790518870617655,-25.59445000879158,-26.366543674412842,-0.21605281564818912,-0.21605281564818912,-0.21605281564818912,0.0,0.0,-32.63637698613126,-32.80895207181881,-32.63637698613126,-32.63637698613126,-32.63637698613126,1.3972809667673716,1.0,662,0.10334040889286113,0.020668081778572225,0.2,26480000.0,13240.0,1324.0,0.0,7943.999999999998,0.6438999999999997,2.980289787329125e-05,-7041.2815648188935,-21605.281564818895,78394.71843518109,78394.71843518109,True
transformer_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,test,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.2171982791,validation_avg_signal_return_bps,3.2171982791,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 928, ""train"": 3307, ""validation"": 694}",726,726,-0.23727280740394374,-0.23727280740394363,-0.23287449961916762,-0.23287449961916762,-27.521735677521423,-27.521735677521423,-0.2940517486807544,-25.973936048504314,-27.70085423476389,-0.2372728074039443,-0.2372728074039443,-0.2372728074039443,0.0,0.0,-32.682204876576364,-32.80864591394705,-32.682204876576364,-32.682204876576364,-32.682204876576364,1.3085399449035813,1.0,726,0.10613339291699252,0.021226678583398502,0.2,29040000.0,14520.0,1452.0,0.0,8711.999999999998,11.998000000000001,0.0005056626644777731,-7755.280740394439,-23727.28074039444,76272.71925960557,76272.71925960557,True
lstm_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,test,completed,,,1.3026254177,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,166.3894568424,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.8170695531,validation_avg_signal_return_bps,4.8170695531,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2683, ""train"": 17571, ""validation"": 3288}",1249,1249,-0.4073823800741553,-0.40738238007415895,-0.4007633875581552,-0.4007633875581552,-36.47792226399404,-36.47792226399404,-0.3897427457211186,-35.98666310174687,-37.18039092244733,-0.40738238007415883,-0.40738238007415883,-0.40738238007415883,0.0,0.0,-32.61668375293505,-32.732163187827695,-32.61668375293505,-32.61668375293505,-32.61668375293505,2.1793434747798237,1.0,1249,0.30410010054742487,0.06082002010948497,0.2,49960000.0,24980.0,2498.0,0.0,14987.999999999998,83.9396,0.0020604622120554126,-13260.238007415883,-40738.23800741588,59261.76199258411,59261.76199258411,True
gru_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,test,completed,,,1.2808223963,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,167.974938969,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.579850084,validation_avg_signal_return_bps,5.579850084,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2708, ""train"": 16725, ""validation"": 3288}",1279,1279,-0.41788221036537754,-0.4178822103653813,-0.41115706645851857,-0.41115706645851857,-36.98196197083857,-36.98196197083857,-0.39512808038673797,-37.871563934203806,-37.6666648260377,-0.4178822103653814,-0.4178822103653814,-0.4178822103653814,0.0,0.0,-32.67257313255525,-32.76530493521553,-32.67257313255525,-32.67257313255525,-32.67257313255525,2.116497263487099,1.0,1279,0.302424310132946,0.06048486202658922,0.2,51160000.0,25580.0,2558.0,0.0,15347.999999999996,94.72819999999999,0.0022668636675673023,-13650.221036538158,-41788.22103653816,58211.77896346186,58211.77896346186,True
