feature,coefficient,abs_coefficient
perp_volume_ratio_24h,-1.9733081311397735,1.9733081311397735
funding_positive_share_168h,-1.7839120468097671,1.7839120468097671
spot_volume_ratio_168h,-1.767374499472756,1.767374499472756
perp_dollar_volume_raw,1.5977832498419902,1.5977832498419902
spot_volume_ratio_8h,1.396687679108856,1.396687679108856
perp_volume_ratio_8h,1.1958918201079158,1.1958918201079158
spread_zscore_168h,-1.195198648231012,1.195198648231012
spread_reversion_signal_168h,1.195198648231012,1.195198648231012
funding_positive_share_72h,1.1857497698269013,1.1857497698269013
funding_std_72h,1.1501884967004512,1.1501884967004512
funding_mean_72h,-1.1000222072858958,1.1000222072858958
funding_mean_168h,-1.0496050375231503,1.0496050375231503
spot_dollar_volume_raw,1.0244145366433033,1.0244145366433033
spread_mean_72h,1.005095196291833,1.005095196291833
spread_deviation_168h,0.843204432458242,0.843204432458242
spot_volume_raw,-0.8035732365006873,0.8035732365006873
spot_volume,-0.8035732365006873,0.8035732365006873
positive_funding_regime,0.7988229151221673,0.7988229151221673
perp_volume_ratio_168h,-0.788849873608594,0.788849873608594
spread_bps,0.7225509868743494,0.7225509868743494
spot_realized_vol_24h,0.5893115275005977,0.5893115275005977
wide_spread_regime,0.5880689549827539,0.5880689549827539
spread_deviation_8h,0.5807734606202019,0.5807734606202019
spread_reversion_signal_72h,-0.5740151564898978,0.5740151564898978
spread_zscore_72h,0.5740151564898978,0.5740151564898978
spot_close,-0.5720899503254824,0.5720899503254824
perp_close,-0.570299857881073,0.570299857881073
funding_std_168h,0.5377595105954066,0.5377595105954066
spot_abs_return_1h,-0.5265605235986365,0.5265605235986365
spot_realized_vol_72h,-0.48947603782808174,0.48947603782808174
high_vol_regime__missing,-0.48228341384590473,0.48228341384590473
funding_std_8h,-0.477960479504459,0.477960479504459
spread_mean_24h,0.45509360373808866,0.45509360373808866
perp_return_shock_24h,0.453535925442323,0.453535925442323
spread_std_24h,0.4012207456026248,0.4012207456026248
spread_std_168h,0.371319704892302,0.371319704892302
funding_positive_share_8h,0.36530699197599625,0.36530699197599625
spot_realized_vol_168h__missing,0.35721796785114684,0.35721796785114684
perp_realized_vol_168h__missing,0.35721796785114684,0.35721796785114684
spread_change_24h,0.34323646221672005,0.34323646221672005
perp_realized_vol_24h,0.3405623741673667,0.3405623741673667
spot_volume_change_1h,-0.3266296228073446,0.3266296228073446
funding_x_spread_bps,0.3146343095686824,0.3146343095686824
perp_realized_vol_72h__missing,0.309274600241833,0.309274600241833
spot_realized_vol_72h__missing,0.309274600241833,0.309274600241833
funding_event,-0.30630068414937167,0.30630068414937167
funding_event_flag,-0.30630068414937167,0.30630068414937167
spread_mean_8h,0.2743483730734158,0.2743483730734158
funding_zscore_24h,-0.269635124002062,0.269635124002062
spot_realized_vol_8h,0.2646751999305899,0.2646751999305899
spot_volume_ratio_24h,-0.2583598450066391,0.2583598450066391
perp_realized_vol_72h,-0.24378046510677892,0.24378046510677892
spot_volume_ratio_72h,-0.22746255442712573,0.22746255442712573
spot_close_was_missing,0.2191326353912517,0.2191326353912517
funding_mean_24h,0.1835915727151931,0.1835915727151931
funding_std_24h,-0.15194191951559358,0.15194191951559358
spread_deviation_24h,0.14236128126318706,0.14236128126318706
spread_std_8h,0.14154346556473357,0.14154346556473357
spread_std_72h,-0.13508105133804948,0.13508105133804948
funding_x_perp_vol_24h,0.11889651423090015,0.11889651423090015
shock_regime,-0.11825539623250092,0.11825539623250092
spread_x_perp_vol_24h,-0.10354512862014412,0.10354512862014412
funding_rate_bps,-0.10242822428659562,0.10242822428659562
funding_rate_raw,-0.10242822428657905,0.10242822428657905
funding_rate,-0.10242822428657905,0.10242822428657905
funding_annualized_proxy,-0.10242822428657108,0.10242822428657108
spread_change_1h,0.1016303299115692,0.1016303299115692
spread_mean_168h,-0.09753567276530882,0.09753567276530882
spot_return_shock_24h,0.08517110938338687,0.08517110938338687
spread_reversion_signal_24h,0.07308414571711366,0.07308414571711366
spread_zscore_24h,-0.07308414571711366,0.07308414571711366
perp_volume_raw,0.03678672132900632,0.03678672132900632
perp_volume,0.03678672132900632,0.03678672132900632
spread_reversion_signal_8h,-0.03438003826598451,0.03438003826598451
spread_zscore_8h,0.03438003826598451,0.03438003826598451
perp_realized_vol_168h,0.017552340674731996,0.017552340674731996
high_vol_regime,0.01711761026301382,0.01711761026301382
spot_volume_change_1h__missing,-0.012259061334561526,0.012259061334561526
funding_mean_168h__missing,-0.008800827826022598,0.008800827826022598
perp_volume_ratio_168h__missing,-0.008800827826022598,0.008800827826022598
spread_deviation_168h__missing,-0.008800827826022598,0.008800827826022598
spot_volume_ratio_168h__missing,-0.008800827826022598,0.008800827826022598
funding_std_168h__missing,-0.008800827826022598,0.008800827826022598
spread_mean_168h__missing,-0.008800827826022598,0.008800827826022598
spread_reversion_signal_168h__missing,-0.008800827826022598,0.008800827826022598
spread_std_168h__missing,-0.008800827826022598,0.008800827826022598
funding_zscore_168h__missing,-0.008800827826022598,0.008800827826022598
spread_zscore_168h__missing,-0.008800827826022598,0.008800827826022598
funding_positive_share_168h__missing,-0.008800827826022598,0.008800827826022598
funding_mean_8h,0.006838125046816425,0.006838125046816425
perp_volume_change_1h,0.004848877246247838,0.004848877246247838
spot_return_1h,-0.002843548273985952,0.002843548273985952
perp_return_1h,-0.002608906197503946,0.002608906197503946
funding_zscore_168h,0.001040572245712364,0.001040572245712364
perp_realized_vol_8h,-0.000947882711191207,0.000947882711191207
spread_deviation_72h,0.000471026574679453,0.000471026574679453
spread_usd,-0.00023010891914185017,0.00023010891914185017
funding_sign,-8.168675162449548e-05,8.168675162449548e-05
perp_abs_return_1h,7.880241456936464e-06,7.880241456936464e-06
perp_volume_ratio_72h,1.72991533187809e-06,1.72991533187809e-06
spot_realized_vol_168h,7.248653942163356e-07,7.248653942163356e-07
funding_zscore_72h,-3.721371363579638e-08,3.721371363579638e-08
funding_positive_share_24h,-2.792942624863996e-08,2.792942624863996e-08
funding_zscore_24h__missing,1.013903677719491e-08,1.013903677719491e-08
