feature,coefficient,abs_coefficient
perp_volume_ratio_24h,-2.7823843477208956,2.7823843477208956
spot_volume_ratio_168h,-2.570688980901035,2.570688980901035
funding_positive_share_168h,-2.3951303833440227,2.3951303833440227
funding_positive_share_72h,1.834684075995893,1.834684075995893
spot_dollar_volume_raw,1.7887494000570423,1.7887494000570423
spread_mean_72h,1.7049948039308591,1.7049948039308591
perp_dollar_volume_raw,1.4855654103112454,1.4855654103112454
perp_volume_ratio_8h,1.4646432149206159,1.4646432149206159
funding_mean_72h,-1.3944995125155926,1.3944995125155926
spread_reversion_signal_168h,1.3817929505607898,1.3817929505607898
spot_volume_raw,-1.3532977970139919,1.3532977970139919
spot_volume_ratio_8h,1.2635014549048724,1.2635014549048724
spread_deviation_168h,1.2417859027140041,1.2417859027140041
funding_std_72h,1.1896296205645376,1.1896296205645376
spread_zscore_168h,-1.107855027361933,1.107855027361933
spot_volume,-0.9591829308380565,0.9591829308380565
spot_realized_vol_24h,0.7796251422187094,0.7796251422187094
funding_mean_168h,-0.7613469837850707,0.7613469837850707
perp_close,-0.7225753420625645,0.7225753420625645
positive_funding_regime,0.7097014952067443,0.7097014952067443
spot_realized_vol_72h,-0.6875017640524886,0.6875017640524886
spread_reversion_signal_72h,-0.6519589712234254,0.6519589712234254
perp_return_shock_24h,0.628486395130737,0.628486395130737
spread_zscore_72h,0.619102665986251,0.619102665986251
wide_spread_regime,0.597993282625159,0.597993282625159
spread_bps,0.5941824290204565,0.5941824290204565
spot_abs_return_1h,-0.5880079492614603,0.5880079492614603
high_vol_regime__missing,-0.5073918442495987,0.5073918442495987
funding_std_8h,-0.49193514596490157,0.49193514596490157
spot_close,-0.47379673566919445,0.47379673566919445
funding_std_168h,0.4572559293466864,0.4572559293466864
spread_deviation_8h,0.44770726660674465,0.44770726660674465
spread_std_168h,0.4073876061924151,0.4073876061924151
spread_std_24h,0.40547311413088033,0.40547311413088033
perp_realized_vol_168h__missing,0.3644015664449648,0.3644015664449648
funding_event_flag,-0.3558158358972471,0.3558158358972471
funding_positive_share_8h,0.3444587912385313,0.3444587912385313
spot_realized_vol_168h__missing,0.3427156961773724,0.3427156961773724
spread_change_24h,0.33689426277375634,0.33689426277375634
spot_realized_vol_8h,0.32421734836140037,0.32421734836140037
funding_x_spread_bps,0.3241293469960097,0.3241293469960097
spot_volume_change_1h,-0.3116574444188463,0.3116574444188463
funding_zscore_24h,-0.2723460792538429,0.2723460792538429
funding_event,-0.24324956174678689,0.24324956174678689
spot_close_was_missing,0.20968387291104035,0.20968387291104035
spread_std_72h,-0.1695646136055357,0.1695646136055357
funding_rate,-0.141808477033905,0.141808477033905
spread_std_8h,0.13391621010152738,0.13391621010152738
funding_x_perp_vol_24h,0.12875970458393288,0.12875970458393288
shock_regime,-0.1175867379366115,0.1175867379366115
funding_annualized_proxy,-0.10767773240011227,0.10767773240011227
spread_usd,-0.09173261909051955,0.09173261909051955
spread_change_1h,0.08639096060637622,0.08639096060637622
funding_rate_raw,-0.08592243342077331,0.08592243342077331
funding_mean_24h,0.0839114139975043,0.0839114139975043
spread_reversion_signal_24h,0.07479342907318842,0.07479342907318842
funding_rate_bps,-0.06501443925643807,0.06501443925643807
perp_volume_ratio_168h,-0.05064601501580137,0.05064601501580137
spread_deviation_24h,0.046396745125754375,0.046396745125754375
funding_std_168h__missing,-0.04427581998633263,0.04427581998633263
spread_x_perp_vol_24h,-0.043833547724628566,0.043833547724628566
spread_zscore_24h,-0.021542688211538423,0.021542688211538423
perp_volume_ratio_168h__missing,-0.015399819325850569,0.015399819325850569
spread_std_168h__missing,-0.015144952284642995,0.015144952284642995
perp_realized_vol_168h,0.009643731334128476,0.009643731334128476
spot_volume_change_1h__missing,-0.0090455170238493,0.0090455170238493
high_vol_regime,0.004651086123236963,0.004651086123236963
funding_zscore_168h__missing,-0.004356568715433676,0.004356568715433676
perp_realized_vol_72h__missing,0.002217290304790516,0.002217290304790516
spread_zscore_168h__missing,-0.0014594823987382002,0.0014594823987382002
funding_mean_168h__missing,-0.0008170008737552441,0.0008170008737552441
spot_volume_ratio_168h__missing,-0.0002736424734141832,0.0002736424734141832
spread_mean_168h__missing,-0.0001660179039277942,0.0001660179039277942
spread_deviation_168h__missing,-0.00014418541804456773,0.00014418541804456773
spread_reversion_signal_168h__missing,-4.901928863439165e-05,4.901928863439165e-05
funding_positive_share_168h__missing,-2.514032778355743e-06,2.514032778355743e-06
spot_realized_vol_72h__missing,7.693870905065786e-07,7.693870905065786e-07
funding_mean_8h,0.0,0.0
funding_positive_share_24h,0.0,0.0
perp_realized_vol_72h,0.0,0.0
funding_sign,0.0,0.0
funding_std_24h,0.0,0.0
funding_zscore_168h,0.0,0.0
funding_zscore_72h,0.0,0.0
perp_abs_return_1h,0.0,0.0
funding_zscore_24h__missing,0.0,0.0
perp_realized_vol_24h,0.0,0.0
spread_mean_8h,0.0,0.0
spread_mean_24h,0.0,0.0
perp_realized_vol_8h,0.0,0.0
spread_zscore_8h,0.0,0.0
perp_return_1h,0.0,0.0
perp_volume,0.0,0.0
perp_volume_change_1h,0.0,0.0
perp_volume_ratio_72h,0.0,0.0
perp_volume_raw,0.0,0.0
spot_realized_vol_168h,0.0,0.0
spot_return_1h,0.0,0.0
spot_volume_ratio_24h,0.0,0.0
spot_volume_ratio_72h,0.0,0.0
spread_reversion_signal_8h,0.0,0.0
spread_deviation_72h,0.0,0.0
spread_mean_168h,0.0,0.0
spot_return_shock_24h,0.0,0.0
