feature,importance_mean,importance_std,abs_importance_mean
spot_volume_ratio_168h,-0.17483235540653813,0.06666666666666667,0.17483235540653813
spread_reversion_signal_168h,-0.014265828227683908,0.010877701641879064,0.014265828227683908
spread_zscore_168h,-0.005187407558448179,0.004160836038917743,0.005187407558448179
perp_volume_ratio_24h,-0.005149226335090884,0.0029891567620639573,0.005149226335090884
funding_positive_share_168h,-0.00018542695112134977,0.00010763102171527996,0.00018542695112134977
spot_volume_raw,-7.258228229298585e-05,1.5983971330662213e-05,7.258228229298585e-05
spot_abs_return_1h,-6.790344163692529e-05,2.1051564600427848e-05,6.790344163692529e-05
spot_volume,-3.7066639431201605e-05,7.64414220275479e-06,3.7066639431201605e-05
spot_volume_change_1h,-3.632758185866695e-05,9.956373804462592e-06,3.632758185866695e-05
funding_mean_72h,-3.468121805746405e-05,5.006543399764538e-06,3.468121805746405e-05
perp_close,-2.644075858460032e-05,1.0108076828017007e-05,2.644075858460032e-05
spot_dollar_volume_raw,1.5456080367388714e-05,8.082349742962817e-08,1.5456080367388714e-05
perp_dollar_volume_raw,1.5275121236771394e-05,1.4025848642257182e-07,1.5275121236771394e-05
spread_deviation_168h,1.527054246683759e-05,9.899675328859735e-08,1.527054246683759e-05
funding_mean_168h,-1.4137741478003214e-05,1.757610282186774e-06,1.4137741478003214e-05
spread_mean_72h,1.3902475410635523e-05,7.416688027656596e-08,1.3902475410635523e-05
spread_reversion_signal_72h,1.3701250342432512e-05,6.14273413685295e-07,1.3701250342432512e-05
spread_zscore_72h,1.354420295083812e-05,6.722607658870458e-07,1.354420295083812e-05
spread_bps,1.31374195570826e-05,1.7823770415108746e-07,1.31374195570826e-05
spread_deviation_8h,1.2888568288169116e-05,2.438056973613885e-07,1.2888568288169116e-05
spot_volume_ratio_8h,1.2113157697358622e-05,1.542666300181351e-06,1.2113157697358622e-05
spot_close,-1.2076449501421823e-05,4.744092893911764e-06,1.2076449501421823e-05
perp_return_shock_24h,1.1936804595946964e-05,6.545800275993915e-07,1.1936804595946964e-05
perp_volume_ratio_8h,1.1738916716706499e-05,1.3279978940486735e-06,1.1738916716706499e-05
spread_usd,-1.1490543617434891e-05,3.5789785296798897e-07,1.1490543617434891e-05
spread_change_24h,9.45898437326192e-06,6.66206931033089e-07,9.45898437326192e-06
funding_positive_share_72h,8.368271825465288e-06,4.561901085200251e-06,8.368271825465288e-06
funding_std_72h,7.761544640910868e-06,3.4026173987099764e-07,7.761544640910868e-06
spread_std_24h,4.930079312596384e-06,5.373348108659495e-07,4.930079312596384e-06
shock_regime,-4.8524974942587585e-06,6.354304988009194e-08,4.8524974942587585e-06
spread_change_1h,4.368266224783634e-06,2.419106774714244e-07,4.368266224783634e-06
spot_realized_vol_72h,-4.217039818671262e-06,4.929752900875753e-06,4.217039818671262e-06
perp_volume_ratio_168h,-3.9478156494248514e-06,4.2852927950643006e-07,3.9478156494248514e-06
funding_zscore_24h,3.831957409405429e-06,3.2446546207883346e-06,3.831957409405429e-06
spot_realized_vol_8h,3.747183947875335e-06,1.9045338996882142e-06,3.747183947875335e-06
funding_event_flag,3.553105643273137e-06,3.484264678430339e-06,3.553105643273137e-06
spread_std_8h,3.4947313193206955e-06,1.6092529794536684e-07,3.4947313193206955e-06
funding_std_168h,3.3920890058322403e-06,2.3787606898769025e-07,3.3920890058322403e-06
funding_event,2.817323156665397e-06,2.834968361077105e-06,2.817323156665397e-06
spread_deviation_24h,2.5239885951415508e-06,3.04797847119102e-07,2.5239885951415508e-06
spread_reversion_signal_24h,-2.357469703658953e-06,1.2546602401869501e-06,2.357469703658953e-06
spot_realized_vol_24h,2.1558424294734303e-06,9.134916340548179e-06,2.1558424294734303e-06
spread_std_168h,2.026409468810619e-06,2.670810782865477e-07,2.026409468810619e-06
spread_x_perp_vol_24h,-1.6518347552831654e-06,6.384655678613037e-08,1.6518347552831654e-06
positive_funding_regime,1.495944008389217e-06,4.039107107742362e-06,1.495944008389217e-06
wide_spread_regime,1.4698975385714254e-06,3.014956394833864e-06,1.4698975385714254e-06
funding_positive_share_8h,-1.3588905768485639e-06,2.7790444092207766e-06,1.3588905768485639e-06
spread_std_72h,-1.200452895136115e-06,2.1828490459130258e-07,1.200452895136115e-06
funding_mean_24h,1.0833685979572918e-06,8.84204182594958e-08,1.0833685979572918e-06
spread_zscore_24h,-6.154363083788101e-07,2.9203304561625976e-07,6.154363083788101e-07
funding_rate,2.243266080886408e-07,1.873398110756731e-07,2.243266080886408e-07
funding_rate_raw,1.8520798336703228e-07,1.1431693377264688e-07,1.8520798336703228e-07
funding_std_8h,1.7933560763373487e-07,2.3944303299373055e-07,1.7933560763373487e-07
funding_annualized_proxy,1.739586333039363e-07,1.3545599977821045e-07,1.739586333039363e-07
funding_x_perp_vol_24h,-1.239139172543274e-07,1.6492946185592868e-07,1.239139172543274e-07
funding_rate_bps,1.0668966368419015e-07,8.209545319848003e-08,1.0668966368419015e-07
high_vol_regime,1.011016318419578e-07,4.894392759672235e-08,1.011016318419578e-07
funding_x_spread_bps,8.98729221403521e-08,4.8315519050732876e-08,8.98729221403521e-08
perp_realized_vol_168h,-7.311467545393649e-08,4.209226050579599e-08,7.311467545393649e-08
funding_mean_168h__missing,0.0,0.0,0.0
spread_std_168h__missing,0.0,0.0,0.0
spread_reversion_signal_168h__missing,0.0,0.0,0.0
spread_mean_168h__missing,0.0,0.0,0.0
spread_deviation_168h__missing,0.0,0.0,0.0
spot_volume_ratio_168h__missing,0.0,0.0,0.0
spot_volume_change_1h__missing,0.0,0.0,0.0
spot_realized_vol_72h__missing,0.0,0.0,0.0
funding_positive_share_168h__missing,0.0,0.0,0.0
spot_realized_vol_168h__missing,0.0,0.0,0.0
perp_volume_ratio_168h__missing,0.0,0.0,0.0
perp_realized_vol_72h__missing,0.0,0.0,0.0
perp_realized_vol_168h__missing,0.0,0.0,0.0
high_vol_regime__missing,0.0,0.0,0.0
funding_zscore_24h__missing,0.0,0.0,0.0
funding_std_168h__missing,0.0,0.0,0.0
spread_zscore_8h,0.0,0.0,0.0
funding_zscore_168h__missing,0.0,0.0,0.0
spot_return_shock_24h,0.0,0.0,0.0
spread_reversion_signal_8h,0.0,0.0,0.0
spread_mean_8h,0.0,0.0,0.0
funding_mean_8h,0.0,0.0,0.0
funding_positive_share_24h,0.0,0.0,0.0
funding_sign,0.0,0.0,0.0
funding_std_24h,0.0,0.0,0.0
funding_zscore_168h,0.0,0.0,0.0
funding_zscore_72h,0.0,0.0,0.0
perp_abs_return_1h,0.0,0.0,0.0
perp_realized_vol_24h,0.0,0.0,0.0
perp_realized_vol_72h,0.0,0.0,0.0
perp_realized_vol_8h,0.0,0.0,0.0
perp_return_1h,0.0,0.0,0.0
perp_volume,0.0,0.0,0.0
perp_volume_change_1h,0.0,0.0,0.0
perp_volume_ratio_72h,0.0,0.0,0.0
perp_volume_raw,0.0,0.0,0.0
spot_close_was_missing,0.0,0.0,0.0
spot_realized_vol_168h,0.0,0.0,0.0
spot_return_1h,0.0,0.0,0.0
spot_volume_ratio_24h,0.0,0.0,0.0
spot_volume_ratio_72h,0.0,0.0,0.0
spread_deviation_72h,0.0,0.0,0.0
spread_mean_168h,0.0,0.0,0.0
spread_mean_24h,0.0,0.0,0.0
spread_zscore_168h__missing,0.0,0.0,0.0
