feature,coefficient,abs_coefficient
spot_dollar_volume_raw,3.8337854755757514,3.8337854755757514
perp_volume_ratio_24h,-3.5669870150627916,3.5669870150627916
funding_positive_share_168h,-2.964126497100224,2.964126497100224
funding_positive_share_72h,2.6649481124844185,2.6649481124844185
spot_volume_ratio_168h,-2.456279833807052,2.456279833807052
spot_volume_raw,-2.4458378497915723,2.4458378497915723
spot_volume,-2.4458378497915723,2.4458378497915723
perp_volume_ratio_8h,2.068212700119238,2.068212700119238
spread_mean_72h,2.059757949408042,2.059757949408042
funding_mean_72h,-1.889782045576491,1.889782045576491
spread_mean_168h,-1.877357313389515,1.877357313389515
spread_reversion_signal_168h,1.7417689501705673,1.7417689501705673
spread_zscore_168h,-1.7417689501705673,1.7417689501705673
spot_abs_return_1h,-1.6551800849974614,1.6551800849974614
positive_funding_regime,1.4545305161714877,1.4545305161714877
perp_volume_ratio_168h,-1.442931975861771,1.442931975861771
funding_mean_168h,-1.4258826710721784,1.4258826710721784
spread_bps,1.4193445306118324,1.4193445306118324
spread_usd,-1.417010227220114,1.417010227220114
spot_realized_vol_8h,1.3725983362733734,1.3725983362733734
funding_std_72h,1.3271130848324235,1.3271130848324235
perp_dollar_volume_raw,1.3177710283441004,1.3177710283441004
funding_std_168h,1.3102753821724427,1.3102753821724427
spot_realized_vol_168h,-1.2364322826168732,1.2364322826168732
perp_realized_vol_168h,1.206001734251789,1.206001734251789
spread_mean_8h,1.1899978513956218,1.1899978513956218
spread_deviation_168h,1.1156547578737288,1.1156547578737288
spot_volume_ratio_8h,1.112678986989678,1.112678986989678
spread_deviation_24h,1.1016271023555435,1.1016271023555435
spread_reversion_signal_72h,-1.0941404266592745,1.0941404266592745
spread_zscore_72h,1.0941404266592745,1.0941404266592745
spot_realized_vol_72h,-1.0654599659194717,1.0654599659194717
spread_mean_24h,1.0080599769539962,1.0080599769539962
high_vol_regime__missing,-0.9218806299164759,0.9218806299164759
perp_realized_vol_8h,-0.9097774668644674,0.9097774668644674
spot_realized_vol_24h,0.8435309936189115,0.8435309936189115
perp_return_shock_24h,0.8313773516381007,0.8313773516381007
spread_deviation_72h,-0.7758018123095892,0.7758018123095892
spread_deviation_8h,0.769275713396106,0.769275713396106
spot_volume_ratio_72h,-0.7569734155918725,0.7569734155918725
perp_volume_ratio_72h,0.7311467026727351,0.7311467026727351
perp_abs_return_1h,0.6881688474505652,0.6881688474505652
perp_close,-0.6775860629804502,0.6775860629804502
spot_close,-0.6754137382613793,0.6754137382613793
funding_std_8h,-0.6658276131466724,0.6658276131466724
funding_x_spread_bps,0.6510190669843273,0.6510190669843273
wide_spread_regime,0.6232600694568357,0.6232600694568357
perp_realized_vol_168h__missing,0.5800568746763386,0.5800568746763386
spot_realized_vol_168h__missing,0.5800568746763386,0.5800568746763386
funding_zscore_24h,-0.538830231961346,0.538830231961346
spread_std_168h,0.5044771149385392,0.5044771149385392
funding_positive_share_8h,0.48940246647699165,0.48940246647699165
perp_volume_raw,0.48764094639103966,0.48764094639103966
perp_volume,0.48764094639103966,0.48764094639103966
spread_std_24h,0.4397218835901065,0.4397218835901065
funding_zscore_24h__missing,0.42040524163446147,0.42040524163446147
spot_volume_change_1h,-0.4112360692760631,0.4112360692760631
funding_positive_share_24h,-0.4112312880493952,0.4112312880493952
spot_volume_ratio_24h,0.38209109881640557,0.38209109881640557
spread_change_24h,0.36249991431334516,0.36249991431334516
spread_zscore_24h,-0.3538224399424982,0.3538224399424982
spread_reversion_signal_24h,0.3538224399424982,0.3538224399424982
funding_mean_24h,0.35113495996828537,0.35113495996828537
funding_event,-0.3279439599583474,0.3279439599583474
funding_event_flag,-0.3279439599583474,0.3279439599583474
funding_zscore_168h,0.3227410901208249,0.3227410901208249
spread_std_72h,-0.2549264592471822,0.2549264592471822
spot_return_shock_24h,0.23960434409003428,0.23960434409003428
funding_zscore_72h,-0.22270454486162922,0.22270454486162922
funding_rate_bps,-0.22045634730281158,0.22045634730281158
funding_rate_raw,-0.22045634730280741,0.22045634730280741
funding_rate,-0.22045634730280741,0.22045634730280741
funding_annualized_proxy,-0.22045634730280433,0.22045634730280433
spot_close_was_missing,0.21896723295573542,0.21896723295573542
funding_x_perp_vol_24h,0.2138609365068769,0.2138609365068769
shock_regime,-0.1833484010098641,0.1833484010098641
spread_std_8h,0.16246626434753708,0.16246626434753708
funding_sign,0.10635391582183444,0.10635391582183444
spread_change_1h,0.0856410493891622,0.0856410493891622
funding_std_24h,-0.08249473038506772,0.08249473038506772
spread_zscore_8h,0.07869342448242987,0.07869342448242987
spread_reversion_signal_8h,-0.07869342448242987,0.07869342448242987
spot_return_1h,-0.07257831554012657,0.07257831554012657
spread_x_perp_vol_24h,-0.07073600053862585,0.07073600053862585
perp_realized_vol_24h,0.0683273758823177,0.0683273758823177
high_vol_regime,0.068041322942295,0.068041322942295
spot_volume_change_1h__missing,-0.04896815741199767,0.04896815741199767
perp_realized_vol_72h,-0.04675683776498618,0.04675683776498618
spread_mean_168h__missing,-0.03924399391615734,0.03924399391615734
spread_deviation_168h__missing,-0.03924399391615734,0.03924399391615734
perp_volume_ratio_168h__missing,-0.03924399391615734,0.03924399391615734
spot_volume_ratio_168h__missing,-0.03924399391615734,0.03924399391615734
spread_reversion_signal_168h__missing,-0.03924399391615734,0.03924399391615734
spread_std_168h__missing,-0.03924399391615734,0.03924399391615734
funding_std_168h__missing,-0.03924399391615734,0.03924399391615734
funding_zscore_168h__missing,-0.03924399391615734,0.03924399391615734
funding_positive_share_168h__missing,-0.03924399391615734,0.03924399391615734
funding_mean_168h__missing,-0.03924399391615734,0.03924399391615734
spread_zscore_168h__missing,-0.03924399391615734,0.03924399391615734
funding_mean_8h,0.026833790142958645,0.026833790142958645
perp_return_1h,0.019735779618361735,0.019735779618361735
spot_realized_vol_72h__missing,0.010707443630684509,0.010707443630684509
perp_realized_vol_72h__missing,0.010707443630684509,0.010707443630684509
perp_volume_change_1h,0.007518568692966996,0.007518568692966996
