feature,coefficient,abs_coefficient
spot_dollar_volume_raw,5.176285977121661,5.176285977121661
perp_volume_ratio_24h,-4.346874029203364,4.346874029203364
spot_volume_raw,-3.286611260343253,3.286611260343253
spot_volume,-3.286611260343253,3.286611260343253
funding_positive_share_168h,-3.263148122616658,3.263148122616658
funding_positive_share_72h,3.019189928768569,3.019189928768569
spot_volume_ratio_168h,-2.9472143626278764,2.9472143626278764
spot_abs_return_1h,-2.325490342141051,2.325490342141051
perp_volume_ratio_8h,2.2838061072746525,2.2838061072746525
spread_mean_72h,2.2401080558789515,2.2401080558789515
spread_usd,-2.186859742449698,2.186859742449698
funding_mean_72h,-2.0389581433853916,2.0389581433853916
spot_realized_vol_168h,-2.0191801974881365,2.0191801974881365
spread_reversion_signal_168h,1.8907189176152068,1.8907189176152068
spread_zscore_168h,-1.8907189176152068,1.8907189176152068
funding_std_168h,1.7997774233640924,1.7997774233640924
perp_realized_vol_168h,1.7412688709204738,1.7412688709204738
funding_mean_168h,-1.7299647883896283,1.7299647883896283
perp_volume_ratio_168h,-1.7081359801439222,1.7081359801439222
spot_realized_vol_8h,1.701545144608964,1.701545144608964
spread_deviation_168h,1.6747198787862647,1.6747198787862647
spread_mean_168h,-1.57775940546799,1.57775940546799
spread_bps,1.517731318946449,1.517731318946449
spot_realized_vol_72h,-1.4311670043944178,1.4311670043944178
spread_mean_8h,1.3183164051627143,1.3183164051627143
perp_abs_return_1h,1.290056823574893,1.290056823574893
spread_deviation_24h,1.2345433849179124,1.2345433849179124
funding_std_72h,1.184707058685378,1.184707058685378
perp_realized_vol_8h,-1.162995201073004,1.162995201073004
spread_zscore_72h,1.1585313642908421,1.1585313642908421
spread_reversion_signal_72h,-1.1585313642908421,1.1585313642908421
perp_volume_ratio_72h,1.1439102641155083,1.1439102641155083
positive_funding_regime,1.127834864934139,1.127834864934139
spread_mean_24h,1.0485977015641752,1.0485977015641752
perp_dollar_volume_raw,1.0142085513153323,1.0142085513153323
spot_volume_ratio_8h,1.0022841871680406,1.0022841871680406
spot_volume_ratio_72h,-0.904903561609282,0.904903561609282
spread_deviation_72h,-0.8943201062566735,0.8943201062566735
spot_realized_vol_24h,0.8599092611375792,0.8599092611375792
perp_return_shock_24h,0.8576590221001041,0.8576590221001041
perp_volume,0.8132851903845736,0.8132851903845736
perp_volume_raw,0.8132851903845736,0.8132851903845736
funding_std_8h,-0.8036765941341669,0.8036765941341669
spot_volume_ratio_24h,0.7968917251976461,0.7968917251976461
spread_deviation_8h,0.7223957270358133,0.7223957270358133
perp_close,-0.7057657187568217,0.7057657187568217
spot_close,-0.7020804094662842,0.7020804094662842
funding_x_spread_bps,0.6630562472299425,0.6630562472299425
wide_spread_regime,0.6331298317615432,0.6331298317615432
funding_zscore_24h,-0.5771104662076937,0.5771104662076937
spread_std_168h,0.5643476335634411,0.5643476335634411
funding_positive_share_24h,-0.5623980334356088,0.5623980334356088
funding_positive_share_8h,0.5553586298371254,0.5553586298371254
funding_mean_24h,0.5018237209241236,0.5018237209241236
funding_zscore_168h,0.45173953001838263,0.45173953001838263
spread_std_24h,0.4373292498090984,0.4373292498090984
funding_zscore_72h,-0.434470890062385,0.434470890062385
spread_zscore_24h,-0.38031061774239744,0.38031061774239744
spread_reversion_signal_24h,0.38031061774239744,0.38031061774239744
spot_volume_change_1h,-0.37290418263561476,0.37290418263561476
spread_change_24h,0.3544696173178088,0.3544696173178088
perp_realized_vol_72h,0.3413182198053228,0.3413182198053228
funding_event,-0.34069464280094286,0.34069464280094286
funding_event_flag,-0.34069464280094286,0.34069464280094286
spread_std_72h,-0.29866869915920524,0.29866869915920524
funding_sign,0.28072071366696766,0.28072071366696766
spot_return_shock_24h,0.2778248535442279,0.2778248535442279
spot_close_was_missing,0.2178246116404809,0.2178246116404809
funding_annualized_proxy,-0.21653044565702018,0.21653044565702018
funding_rate,-0.21653044565700896,0.21653044565700896
funding_rate_raw,-0.21653044565700896,0.21653044565700896
funding_rate_bps,-0.21653044565700366,0.21653044565700366
funding_x_perp_vol_24h,0.20908784366173544,0.20908784366173544
shock_regime,-0.17827100106033392,0.17827100106033392
funding_std_24h,-0.15421078429660257,0.15421078429660257
spread_std_8h,0.11138929072647005,0.11138929072647005
spot_return_1h,-0.10971632829021229,0.10971632829021229
spread_change_1h,0.10099435183871516,0.10099435183871516
funding_mean_8h,0.08296196525717735,0.08296196525717735
spread_reversion_signal_8h,-0.08189282276429628,0.08189282276429628
spread_zscore_8h,0.08189282276429628,0.08189282276429628
perp_return_1h,0.0438987645102734,0.0438987645102734
high_vol_regime,0.03645780760773741,0.03645780760773741
perp_volume_change_1h,0.0082505388981189,0.0082505388981189
spread_x_perp_vol_24h,-0.0056154137179599845,0.0056154137179599845
perp_realized_vol_24h,-0.0031053028594312635,0.0031053028594312635
