feature,importance_mean,importance_std,abs_importance_mean
spot_dollar_volume_raw,-0.002752635523453875,0.0009087619589695989,0.002752635523453875
spread_usd,-0.002297640328874502,0.00037156587222354016,0.002297640328874502
perp_volume_ratio_72h,-0.0006049019108680425,0.0004067304995347719,0.0006049019108680425
spread_deviation_168h,-0.00012754501962609644,1.1718143008658467e-05,0.00012754501962609644
spread_deviation_24h,-9.48181389613663e-05,1.0694223215140168e-05,9.48181389613663e-05
spread_zscore_72h,-9.388015422169488e-05,2.3537178792264453e-05,9.388015422169488e-05
spread_reversion_signal_72h,-9.388015422169488e-05,2.3537178792264453e-05,9.388015422169488e-05
spread_bps,-8.925265729273198e-05,6.793084118018998e-06,8.925265729273198e-05
spot_return_shock_24h,-7.64013283949755e-05,3.4494711249215366e-05,7.64013283949755e-05
spot_volume_ratio_8h,-6.914331944139055e-05,2.579391924597069e-05,6.914331944139055e-05
perp_volume_ratio_8h,-6.629096600673289e-05,2.0850100869071795e-05,6.629096600673289e-05
spread_mean_72h,-5.9337693552672105e-05,1.8977318207577776e-06,5.9337693552672105e-05
spread_deviation_8h,-4.648812530555177e-05,4.123351719135579e-06,4.648812530555177e-05
funding_positive_share_72h,-4.61313254735231e-05,1.520873964272878e-05,4.61313254735231e-05
perp_volume,-4.1572712701701076e-05,7.2425464008576576e-06,4.1572712701701076e-05
perp_volume_raw,-4.1572712701701076e-05,7.2425464008576576e-06,4.1572712701701076e-05
perp_volume_ratio_24h,3.453011523181366e-05,4.4694447924992686e-07,3.453011523181366e-05
perp_return_shock_24h,-3.437903525989441e-05,4.473736623284688e-06,3.437903525989441e-05
spot_volume_ratio_72h,3.4073591067750466e-05,7.11442432821741e-07,3.4073591067750466e-05
spot_volume_ratio_168h,3.0297584442999833e-05,7.815866276693448e-07,3.0297584442999833e-05
spot_volume,2.70904046306216e-05,1.9916573650413117e-06,2.70904046306216e-05
spot_volume_raw,2.70904046306216e-05,1.9916573650413117e-06,2.70904046306216e-05
spread_mean_8h,-2.6532508333446455e-05,1.3973604177230746e-06,2.6532508333446455e-05
spot_volume_change_1h,2.6456271523591194e-05,2.372290204473432e-06,2.6456271523591194e-05
perp_abs_return_1h,-2.6221403626039115e-05,5.1485687639324185e-06,2.6221403626039115e-05
spread_deviation_72h,2.6085769982363214e-05,9.409710405516718e-07,2.6085769982363214e-05
spot_abs_return_1h,2.000631648537867e-05,1.4278276490365706e-06,2.000631648537867e-05
spot_volume_ratio_24h,-1.720296312814256e-05,9.73329450941057e-06,1.720296312814256e-05
spread_mean_24h,-1.659508154258701e-05,4.918875329258152e-07,1.659508154258701e-05
spread_mean_168h,1.4706911724482333e-05,2.667585394567471e-07,1.4706911724482333e-05
spread_change_24h,-1.4642732793388027e-05,1.4258590302109216e-06,1.4642732793388027e-05
perp_close,1.4075365903153256e-05,1.6541339795377968e-06,1.4075365903153256e-05
spot_close,1.3995796483955078e-05,1.7308147056715748e-06,1.3995796483955078e-05
spot_realized_vol_8h,-1.3664045795614793e-05,8.052264328597781e-06,1.3664045795614793e-05
funding_std_168h,-9.857814284534068e-06,1.07920342855842e-06,9.857814284534068e-06
spot_realized_vol_168h,-9.048099631980199e-06,8.671216056693031e-06,9.048099631980199e-06
spread_reversion_signal_24h,7.961979572340552e-06,2.971682896183903e-06,7.961979572340552e-06
spread_zscore_24h,7.961979572340552e-06,2.971682896183903e-06,7.961979572340552e-06
funding_std_72h,-7.493255924722843e-06,4.490756519732816e-07,7.493255924722843e-06
funding_mean_168h,7.335427327427884e-06,9.266905096352431e-07,7.335427327427884e-06
funding_mean_72h,6.7982585168813484e-06,1.2690017132282178e-06,6.7982585168813484e-06
funding_zscore_24h,-6.74230599776428e-06,1.0648918011872791e-05,6.74230599776428e-06
perp_realized_vol_168h,6.569087126204664e-06,6.079723177829121e-06,6.569087126204664e-06
spread_reversion_signal_168h,-5.674558998523593e-06,3.861316997162526e-05,5.674558998523593e-06
spread_zscore_168h,-5.674558998523593e-06,3.861316997162526e-05,5.674558998523593e-06
spread_std_24h,-5.496379624622672e-06,8.227470024956641e-07,5.496379624622672e-06
funding_positive_share_168h,-4.835741821065281e-06,2.194073716458221e-06,4.835741821065281e-06
spread_x_perp_vol_24h,4.609048692670999e-06,2.0757563694853207e-07,4.609048692670999e-06
shock_regime,4.368310567458907e-06,1.728916766378691e-07,4.368310567458907e-06
perp_realized_vol_8h,4.060365906280358e-06,2.197620552425605e-06,4.060365906280358e-06
perp_volume_ratio_168h,-3.976412258607028e-06,2.2233169707100502e-06,3.976412258607028e-06
funding_positive_share_24h,-3.922011966349739e-06,3.9633821042035427e-07,3.922011966349739e-06
spot_return_1h,3.356673873220774e-06,5.342605599200401e-07,3.356673873220774e-06
spread_change_1h,-3.3521716568367313e-06,1.5835590426019453e-07,3.3521716568367313e-06
spot_realized_vol_24h,-2.9867881570529566e-06,4.720867852868057e-06,2.9867881570529566e-06
perp_dollar_volume_raw,2.9840869413038035e-06,4.1123485299212904e-07,2.9840869413038035e-06
funding_zscore_72h,-2.685701475165864e-06,3.4507326931259397e-07,2.685701475165864e-06
funding_event_flag,-2.635453649265778e-06,5.362699962686841e-06,2.635453649265778e-06
funding_event,-2.635453649265778e-06,5.362699962686841e-06,2.635453649265778e-06
positive_funding_regime,-2.3294493849703737e-06,1.0346768955721584e-05,2.3294493849703737e-06
funding_mean_24h,-2.037444944999651e-06,2.5333314978166455e-07,2.037444944999651e-06
wide_spread_regime,-1.947757426723826e-06,3.0124210234240716e-06,1.947757426723826e-06
funding_sign,1.8802953337957459e-06,3.432944481856684e-06,1.8802953337957459e-06
perp_realized_vol_24h,-1.7631898138440566e-06,2.9918989078849513e-06,1.7631898138440566e-06
perp_return_1h,1.4005126776200147e-06,2.2652908216601693e-07,1.4005126776200147e-06
spot_realized_vol_72h,1.280376402562573e-06,8.626881925751768e-06,1.280376402562573e-06
spread_zscore_8h,-1.032539435653299e-06,5.745498950426835e-07,1.032539435653299e-06
spread_reversion_signal_8h,-1.032539435653299e-06,5.745498950426835e-07,1.032539435653299e-06
spread_std_8h,-1.002428513864536e-06,7.305577415327889e-08,1.002428513864536e-06
funding_std_24h,8.178241978482785e-07,1.4698723027049863e-07,8.178241978482785e-07
funding_std_8h,-7.264062966779892e-07,2.6747258469050655e-07,7.264062966779892e-07
spread_std_72h,5.799920638680108e-07,4.3085399125257463e-07,5.799920638680108e-07
perp_realized_vol_72h,-5.608129523380998e-07,9.181596520900442e-07,5.608129523380998e-07
funding_positive_share_8h,5.538106413888634e-07,1.0752172754118634e-06,5.538106413888634e-07
funding_mean_8h,-5.213250509916636e-07,2.3033940874167706e-07,5.213250509916636e-07
high_vol_regime,3.8500605725836905e-07,2.6911509522002137e-07,3.8500605725836905e-07
perp_volume_change_1h,-3.2358375555745155e-07,7.842267672802487e-08,3.2358375555745155e-07
funding_zscore_168h,2.1503564642852522e-07,6.663500160060378e-07,2.1503564642852522e-07
funding_x_perp_vol_24h,1.1210656715969904e-07,1.791495906939596e-07,1.1210656715969904e-07
spread_std_168h,-1.05847564428759e-07,2.952592911979393e-07,1.05847564428759e-07
funding_x_spread_bps,-3.512770325352012e-08,4.966877152275594e-08,3.512770325352012e-08
funding_zscore_24h__missing,3.508034005921825e-08,6.279274639275424e-08,3.508034005921825e-08
funding_annualized_proxy,-1.4227589591376708e-08,1.8544630648440091e-07,1.4227589591376708e-08
funding_rate_bps,-1.4227589591376708e-08,1.8544630648440091e-07,1.4227589591376708e-08
funding_rate,-1.4227589591376708e-08,1.8544630648440091e-07,1.4227589591376708e-08
funding_rate_raw,-1.4227589591376708e-08,1.8544630648440091e-07,1.4227589591376708e-08
spot_close_was_missing,0.0,0.0,0.0
spot_realized_vol_168h__missing,0.0,0.0,0.0
spread_std_168h__missing,0.0,0.0,0.0
spread_reversion_signal_168h__missing,0.0,0.0,0.0
spread_mean_168h__missing,0.0,0.0,0.0
spread_deviation_168h__missing,0.0,0.0,0.0
spot_volume_ratio_168h__missing,0.0,0.0,0.0
spot_volume_change_1h__missing,0.0,0.0,0.0
spot_realized_vol_72h__missing,0.0,0.0,0.0
perp_realized_vol_72h__missing,0.0,0.0,0.0
perp_volume_ratio_168h__missing,0.0,0.0,0.0
perp_realized_vol_168h__missing,0.0,0.0,0.0
high_vol_regime__missing,0.0,0.0,0.0
funding_zscore_168h__missing,0.0,0.0,0.0
funding_std_168h__missing,0.0,0.0,0.0
funding_positive_share_168h__missing,0.0,0.0,0.0
funding_mean_168h__missing,0.0,0.0,0.0
spread_zscore_168h__missing,0.0,0.0,0.0
