feature,coefficient,abs_coefficient
spot_realized_vol_72h,-9.37273206344651,9.37273206344651
perp_realized_vol_72h,9.18755804696414,9.18755804696414
spread_mean_168h,-6.267828532865124,6.267828532865124
spread_deviation_168h,-2.6195498889872506,2.6195498889872506
spread_bps,2.474686923149323,2.474686923149323
spread_deviation_24h,2.454136508227612,2.454136508227612
spread_mean_8h,2.1818230223349726,2.1818230223349726
spread_mean_72h,2.17622902236482,2.17622902236482
perp_realized_vol_168h,1.9291535475204513,1.9291535475204513
spot_realized_vol_168h,-1.6564102044926843,1.6564102044926843
spread_mean_24h,1.4808685831536181,1.4808685831536181
funding_mean_168h,1.3624194744826617,1.3624194744826617
spread_deviation_8h,1.1072874873440746,1.1072874873440746
spread_deviation_72h,1.0857193926225486,1.0857193926225486
perp_realized_vol_168h__missing,1.031664459988361,1.031664459988361
spot_realized_vol_168h__missing,1.0316644598997662,1.0316644598997662
spot_volume_ratio_72h,-0.9042847729406627,0.9042847729406627
perp_volume_ratio_72h,0.9010168734354006,0.9010168734354006
spot_volume_ratio_168h,0.8844957363464205,0.8844957363464205
funding_std_24h,-0.8753945780132677,0.8753945780132677
perp_abs_return_1h,0.872615256005146,0.872615256005146
spot_abs_return_1h,-0.8618893402041624,0.8618893402041624
funding_std_72h,0.7493653938820961,0.7493653938820961
funding_mean_24h,0.6726338595205075,0.6726338595205075
perp_volume_ratio_168h,-0.6606566578561169,0.6606566578561169
spot_realized_vol_8h,-0.6159672865102276,0.6159672865102276
spread_x_perp_vol_24h,-0.5906024003675302,0.5906024003675302
perp_realized_vol_8h,0.5830924959738244,0.5830924959738244
spread_std_24h,0.49283368379009646,0.49283368379009646
spot_close_was_missing,0.49002031982733824,0.49002031982733824
spot_realized_vol_24h,-0.4248330795363643,0.4248330795363643
spread_std_72h,-0.33423176603671134,0.33423176603671134
perp_realized_vol_24h,0.31717249809151893,0.31717249809151893
spread_zscore_72h,0.30040222629096547,0.30040222629096547
spread_reversion_signal_72h,-0.30040222627715807,0.30040222627715807
funding_positive_share_168h,0.2526750529784921,0.2526750529784921
spot_dollar_volume_raw,0.24843565848935142,0.24843565848935142
spread_zscore_24h,-0.2470205507128121,0.2470205507128121
spread_reversion_signal_24h,0.24702055070983395,0.24702055070983395
spread_std_168h__missing,-0.24687646168052588,0.24687646168052588
funding_zscore_168h__missing,-0.2468764614878214,0.2468764614878214
funding_std_168h__missing,-0.2468764614874555,0.2468764614874555
funding_mean_168h__missing,-0.24687646148714132,0.24687646148714132
funding_positive_share_168h__missing,-0.246876461486872,0.246876461486872
spread_deviation_168h__missing,-0.24687646139156047,0.24687646139156047
spread_mean_168h__missing,-0.2468764613908824,0.2468764613908824
spot_volume_ratio_168h__missing,-0.24687646137859928,0.24687646137859928
perp_volume_ratio_168h__missing,-0.24687646137127967,0.24687646137127967
spread_reversion_signal_168h__missing,-0.2468764612650361,0.2468764612650361
spread_zscore_168h__missing,-0.24687643061027756,0.24687643061027756
spread_reversion_signal_168h,0.2435914753021542,0.2435914753021542
spread_zscore_168h,-0.2435914752800538,0.2435914752800538
perp_dollar_volume_raw,0.2098661461335289,0.2098661461335289
funding_std_168h,-0.20350633272828414,0.20350633272828414
spot_volume,-0.19604017675014007,0.19604017675014007
spot_volume_raw,-0.19604017672757584,0.19604017672757584
spot_close,-0.19457891000343155,0.19457891000343155
perp_close,-0.19411100713992152,0.19411100713992152
funding_mean_8h,0.19120135514681658,0.19120135514681658
spread_std_8h,0.17260071396123644,0.17260071396123644
spot_return_1h,-0.1719700303281393,0.1719700303281393
perp_return_1h,0.1409981909356631,0.1409981909356631
spread_usd,0.1388638160817916,0.1388638160817916
spot_volume_ratio_8h,-0.13845056794238383,0.13845056794238383
funding_positive_share_24h,0.12856444414240345,0.12856444414240345
spread_change_1h,-0.1270375635267948,0.1270375635267948
funding_positive_share_72h,-0.12651619734849368,0.12651619734849368
perp_volume_ratio_24h,-0.12441486247182497,0.12441486247182497
spot_volume_change_1h__missing,-0.11635648314776167,0.11635648314776167
spread_change_24h,0.11232800022314188,0.11232800022314188
perp_volume,-0.10936759489004295,0.10936759489004295
perp_volume_raw,-0.10936759475938135,0.10936759475938135
spot_volume_ratio_24h,0.10284589678692833,0.10284589678692833
perp_return_shock_24h,-0.10143477438085648,0.10143477438085648
funding_mean_72h,-0.09976264392448678,0.09976264392448678
funding_positive_share_8h,-0.0996052528625173,0.0996052528625173
perp_realized_vol_72h__missing,0.0983878339561148,0.0983878339561148
spot_realized_vol_72h__missing,0.09838783395584638,0.09838783395584638
funding_std_8h,0.0902967536628605,0.0902967536628605
positive_funding_regime,-0.07921434447974271,0.07921434447974271
funding_zscore_24h__missing,-0.07065885670332564,0.07065885670332564
spread_std_168h,-0.06907583026102126,0.06907583026102126
high_vol_regime,-0.06866806522032114,0.06866806522032114
funding_zscore_72h,-0.0552090265903911,0.0552090265903911
funding_x_perp_vol_24h,-0.05392548307190908,0.05392548307190908
funding_zscore_24h,0.05056185132521839,0.05056185132521839
shock_regime,0.04416638279816688,0.04416638279816688
funding_zscore_168h,0.043437322871531354,0.043437322871531354
spot_volume_change_1h,0.03869463462839116,0.03869463462839116
wide_spread_regime,-0.03323707270280603,0.03323707270280603
funding_sign,-0.026782313153593598,0.026782313153593598
spot_return_shock_24h,0.02520001193718116,0.02520001193718116
perp_volume_ratio_8h,0.020209463568460404,0.020209463568460404
high_vol_regime__missing,0.017301854816402455,0.017301854816402455
funding_event_flag,-0.011065661613456401,0.011065661613456401
funding_event,-0.011065661612840312,0.011065661612840312
funding_annualized_proxy,-0.009292079664853905,0.009292079664853905
funding_rate_bps,-0.009292079549286772,0.009292079549286772
funding_rate,-0.009292079549222116,0.009292079549222116
funding_rate_raw,-0.009292079549029213,0.009292079549029213
perp_volume_change_1h,0.008910247063323409,0.008910247063323409
spread_zscore_8h,0.005578429147917339,0.005578429147917339
spread_reversion_signal_8h,-0.005578429136917095,0.005578429136917095
funding_x_spread_bps,0.005138344892682413,0.005138344892682413
