feature,coefficient,abs_coefficient
spot_realized_vol_72h,-19.640589609600674,19.640589609600674
perp_realized_vol_72h,19.287362917958493,19.287362917958493
spread_mean_168h,-4.35377508149956,4.35377508149956
perp_realized_vol_24h,-2.7107216540541095,2.7107216540541095
spot_realized_vol_24h,2.610269575259714,2.610269575259714
spread_deviation_24h,2.2014194230823287,2.2014194230823287
spot_realized_vol_168h,1.923670352488498,1.923670352488498
spread_bps,1.9208927227972121,1.9208927227972121
spread_mean_8h,1.6803599116642554,1.6803599116642554
spread_mean_72h,1.6677044445067501,1.6677044445067501
perp_realized_vol_168h,-1.5098378583387337,1.5098378583387337
funding_mean_168h,1.484942387371795,1.484942387371795
spread_deviation_168h,-1.4603708774848894,1.4603708774848894
spot_abs_return_1h,-1.3064614375786787,1.3064614375786787
perp_abs_return_1h,1.304598293099257,1.304598293099257
spot_volume_ratio_72h,-1.099782924057686,1.099782924057686
spot_volume_ratio_168h,1.0184710622488506,1.0184710622488506
spread_mean_24h,0.9956634293943489,0.9956634293943489
perp_volume_ratio_72h,0.9471358777138681,0.9471358777138681
spread_deviation_8h,0.8883714586795783,0.8883714586795783
spread_deviation_72h,0.8798364440900203,0.8798364440900203
funding_std_24h,-0.7744683206091291,0.7744683206091291
spot_return_1h,-0.6760263620653647,0.6760263620653647
perp_volume_ratio_168h,-0.6700255740794345,0.6700255740794345
perp_return_1h,0.6435321150223541,0.6435321150223541
spread_x_perp_vol_24h,-0.6208785377776843,0.6208785377776843
funding_mean_24h,0.6061666071948413,0.6061666071948413
spread_std_24h,0.5563077724506065,0.5563077724506065
funding_std_72h,0.49382293116941384,0.49382293116941384
spread_std_72h,-0.45810550458048904,0.45810550458048904
spot_close_was_missing,0.42364050655401614,0.42364050655401614
spread_reversion_signal_72h,-0.26382516355563745,0.26382516355563745
spread_zscore_72h,0.2638251629998508,0.2638251629998508
spot_dollar_volume_raw,0.2545335431076468,0.2545335431076468
perp_return_shock_24h,-0.2505554929100911,0.2505554929100911
spread_reversion_signal_24h,0.24184799875078175,0.24184799875078175
spread_zscore_24h,-0.2418479987403455,0.2418479987403455
spot_volume,-0.2101327017645405,0.2101327017645405
spot_volume_raw,-0.21013270170977255,0.21013270170977255
perp_dollar_volume_raw,0.20973971299634123,0.20973971299634123
spread_zscore_168h,-0.2090287218988621,0.2090287218988621
spread_reversion_signal_168h,0.2090287218462617,0.2090287218462617
spot_realized_vol_8h,-0.2081389289733359,0.2081389289733359
funding_mean_72h,-0.20001090229517793,0.20001090229517793
spot_close,-0.18855404156759742,0.18855404156759742
perp_close,-0.18807418804044368,0.18807418804044368
perp_volume_ratio_24h,-0.18560704554735882,0.18560704554735882
perp_realized_vol_8h,0.18513596660419535,0.18513596660419535
spot_return_shock_24h,0.18111033031926613,0.18111033031926613
spot_volume_ratio_24h,0.17851798472531855,0.17851798472531855
funding_mean_8h,0.17784700530608127,0.17784700530608127
funding_positive_share_168h,0.16327990919662588,0.16327990919662588
spread_change_1h,-0.15037366833685373,0.15037366833685373
spread_usd,0.14778937662621117,0.14778937662621117
spot_volume_ratio_8h,-0.14455329018346605,0.14455329018346605
funding_positive_share_24h,0.13612443997418391,0.13612443997418391
spread_std_8h,0.12850667232941393,0.12850667232941393
spread_change_24h,0.12667954624558111,0.12667954624558111
funding_std_8h,0.10283821215927172,0.10283821215927172
funding_positive_share_8h,-0.10045518602148686,0.10045518602148686
perp_volume_raw,-0.0990285097813694,0.0990285097813694
perp_volume,-0.09902850948196429,0.09902850948196429
funding_zscore_72h,-0.09833589192203046,0.09833589192203046
funding_zscore_24h,0.09039470042168556,0.09039470042168556
funding_zscore_168h,0.07973559799962045,0.07973559799962045
high_vol_regime,-0.055415226801786496,0.055415226801786496
funding_sign,-0.054505478453142873,0.054505478453142873
funding_x_perp_vol_24h,-0.053776042469932235,0.053776042469932235
funding_positive_share_72h,-0.0492797717194451,0.0492797717194451
shock_regime,0.04800908918829997,0.04800908918829997
spot_volume_change_1h,0.043811189052971655,0.043811189052971655
funding_std_168h,-0.04049892412892955,0.04049892412892955
funding_x_spread_bps,0.036673088510553474,0.036673088510553474
wide_spread_regime,-0.034590931502306396,0.034590931502306396
positive_funding_regime,-0.028206774255527315,0.028206774255527315
perp_volume_ratio_8h,0.027899744323135748,0.027899744323135748
spread_std_168h,-0.019975293892230774,0.019975293892230774
funding_annualized_proxy,-0.01672420239660013,0.01672420239660013
funding_rate,-0.016724202392622015,0.016724202392622015
funding_rate_raw,-0.016724201994261754,0.016724201994261754
funding_rate_bps,-0.016724201986124423,0.016724201986124423
perp_volume_change_1h,0.008154173219028886,0.008154173219028886
funding_event_flag,-0.00788363428585648,0.00788363428585648
funding_event,-0.00788363428227942,0.00788363428227942
spread_reversion_signal_8h,-0.0003111736277497529,0.0003111736277497529
spread_zscore_8h,0.00031117359630865966,0.00031117359630865966
