artifact_label,artifact_scope,trade_id,strategy_name,display_name,family_label,track,source,source_subtype,task,model_name,split,direction,entry_timestamp,exit_timestamp,holding_hours,gross_return_bps,fees_usd,slippage_cost_usd,funding_pnl_usd,net_pnl_usd,net_return_bps,position_notional_usd,story_note
DEMO ONLY,Synthetic illustrative results,156,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-01 00:00:00+00:00,2024-07-03 16:00:00+00:00,64.0,98.21141513062673,14.0,8.0,32.66,181.42283026125347,90.71141513062673,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,157,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-03 00:00:00+00:00,2024-07-04 16:00:00+00:00,40.0,91.34307251948009,14.0,8.0,30.18,167.68614503896015,83.84307251948009,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,158,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-05 00:00:00+00:00,2024-07-10 16:00:00+00:00,136.0,-67.46323875399126,14.0,8.0,-26.99,-149.92647750798253,-74.96323875399126,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,159,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,long_perp_short_spot,2024-07-09 00:00:00+00:00,2024-07-10 16:00:00+00:00,40.0,138.58108716647553,14.0,8.0,47.19,262.16217433295105,131.08108716647553,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,160,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,long_perp_short_spot,2024-07-11 00:00:00+00:00,2024-07-16 16:00:00+00:00,136.0,-109.37415358376671,14.0,8.0,-42.07,-233.74830716753343,-116.87415358376671,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,161,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-15 00:00:00+00:00,2024-07-17 16:00:00+00:00,64.0,-140.37638201474863,14.0,8.0,-53.24,-295.75276402949726,-147.87638201474863,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,162,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,long_perp_short_spot,2024-07-17 00:00:00+00:00,2024-07-18 16:00:00+00:00,40.0,97.75021575008434,14.0,8.0,32.49,180.5004315001687,90.25021575008434,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,163,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-19 00:00:00+00:00,2024-07-22 16:00:00+00:00,88.0,108.07824831404601,14.0,8.0,36.21,201.15649662809204,100.57824831404601,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,164,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-23 00:00:00+00:00,2024-07-26 16:00:00+00:00,88.0,121.00768453831819,14.0,8.0,40.86,227.01536907663638,113.50768453831819,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
DEMO ONLY,Synthetic illustrative results,165,lstm_gross__rolling_top_decile_abs,Exploratory LSTM Gross,Exploratory Deep Learning,exploratory,exploratory_dl,deep_learning_showcase,regression,lstm,test,short_perp_long_spot,2024-07-25 00:00:00+00:00,2024-07-29 16:00:00+00:00,112.0,141.4513070968017,14.0,8.0,48.22,267.9026141936034,133.9513070968017,20000.0,"More active than the strict track, with stronger upside but clearly rougher path behavior."
