artifact_label,artifact_scope,trade_id,strategy_name,display_name,family_label,track,source,source_subtype,task,model_name,split,direction,entry_timestamp,exit_timestamp,holding_hours,gross_return_bps,fees_usd,slippage_cost_usd,funding_pnl_usd,net_pnl_usd,net_return_bps,position_notional_usd,story_note
DEMO ONLY,Synthetic illustrative results,99,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-01 00:00:00+00:00,2024-07-04 16:00:00+00:00,88.0,-36.206974251254046,14.0,8.0,-15.73,-87.41394850250808,-43.706974251254046,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,100,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-05 00:00:00+00:00,2024-07-08 16:00:00+00:00,88.0,55.29453331519208,14.0,8.0,17.21,95.58906663038417,47.79453331519208,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,101,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-11 00:00:00+00:00,2024-07-17 16:00:00+00:00,160.0,-30.10701421021455,14.0,8.0,-13.54,-75.2140284204291,-37.60701421021455,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,102,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-17 00:00:00+00:00,2024-07-19 16:00:00+00:00,64.0,-47.46207740742021,14.0,8.0,-19.79,-109.92415481484042,-54.96207740742021,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,103,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-23 00:00:00+00:00,2024-07-29 16:00:00+00:00,160.0,-43.74112913677239,14.0,8.0,-18.45,-102.48225827354479,-51.24112913677239,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,104,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-07-29 00:00:00+00:00,2024-07-31 16:00:00+00:00,64.0,-43.91685681250481,14.0,8.0,-18.51,-102.83371362500962,-51.41685681250481,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,105,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,long_perp_short_spot,2024-08-05 00:00:00+00:00,2024-08-06 16:00:00+00:00,40.0,59.26637723837422,14.0,8.0,18.64,103.53275447674844,51.76637723837422,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,106,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-08-09 00:00:00+00:00,2024-08-14 16:00:00+00:00,136.0,-4.220090824426112,14.0,8.0,-4.22,-23.440181648852224,-11.720090824426112,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,107,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,short_perp_long_spot,2024-08-15 00:00:00+00:00,2024-08-16 16:00:00+00:00,40.0,42.36709866996578,14.0,8.0,12.55,69.73419733993155,34.86709866996578,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
DEMO ONLY,Synthetic illustrative results,108,spread_zscore_1p5,Rule-Based Baseline,Rule-Based Baseline,strict,baseline,rule_based,classification,spread_zscore_1p5,test,long_perp_short_spot,2024-08-21 00:00:00+00:00,2024-08-22 16:00:00+00:00,40.0,-16.616908407837848,14.0,8.0,-8.68,-48.233816815675695,-24.116908407837848,20000.0,Small positive edge with visible pullbacks and only moderate signal frequency.
