strategy_name,split,suggested_direction,signal_count
gru_direction__rolling_top_decile_abs,test,long_perp_short_spot,598
gru_direction__rolling_top_decile_abs,test,short_perp_long_spot,340
gru_direction__rolling_top_decile_abs,train,long_perp_short_spot,1542
gru_direction__rolling_top_decile_abs,train,short_perp_long_spot,1763
gru_direction__rolling_top_decile_abs,validation,long_perp_short_spot,179
gru_direction__rolling_top_decile_abs,validation,short_perp_long_spot,515
gru_direction__validation_tuned_balanced_support,test,long_perp_short_spot,2197
gru_direction__validation_tuned_balanced_support,test,short_perp_long_spot,1383
gru_direction__validation_tuned_balanced_support,train,long_perp_short_spot,6691
gru_direction__validation_tuned_balanced_support,train,short_perp_long_spot,9920
gru_direction__validation_tuned_balanced_support,validation,long_perp_short_spot,802
gru_direction__validation_tuned_balanced_support,validation,short_perp_long_spot,2486
gru_gross__rolling_top_decile_abs,test,long_perp_short_spot,172
gru_gross__rolling_top_decile_abs,test,short_perp_long_spot,758
gru_gross__rolling_top_decile_abs,train,long_perp_short_spot,410
gru_gross__rolling_top_decile_abs,train,short_perp_long_spot,3113
gru_gross__rolling_top_decile_abs,validation,long_perp_short_spot,78
gru_gross__rolling_top_decile_abs,validation,short_perp_long_spot,623
gru_gross__validation_tuned_balanced_support,test,long_perp_short_spot,497
gru_gross__validation_tuned_balanced_support,test,short_perp_long_spot,2211
gru_gross__validation_tuned_balanced_support,train,long_perp_short_spot,2721
gru_gross__validation_tuned_balanced_support,train,short_perp_long_spot,14004
gru_gross__validation_tuned_balanced_support,validation,long_perp_short_spot,254
gru_gross__validation_tuned_balanced_support,validation,short_perp_long_spot,3034
lstm_direction__rolling_top_decile_abs,test,long_perp_short_spot,796
lstm_direction__rolling_top_decile_abs,test,short_perp_long_spot,125
lstm_direction__rolling_top_decile_abs,train,long_perp_short_spot,1980
lstm_direction__rolling_top_decile_abs,train,short_perp_long_spot,1336
lstm_direction__rolling_top_decile_abs,validation,long_perp_short_spot,269
lstm_direction__rolling_top_decile_abs,validation,short_perp_long_spot,467
lstm_direction__validation_tuned_balanced_support,test,long_perp_short_spot,2804
