experiment,family_name,family_label,family_source_name,scenario_name,scenario_order,run_name,strategy_name,source,source_subtype,task,signal_threshold,signal_threshold_mode,threshold_objective,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,trade_count,active_position_count,cumulative_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,average_trade_return_bps,average_trade_pnl_usd,average_holding_hours,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_funding_pnl_usd,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,strategy_detail_label,name,taker_fee_bps,slippage_bps,gas_cost_usd,other_friction_bps
cost_sensitivity,rule_based,Rule-Based Baseline,rules,low_cost,1,cost_sensitivity_rule_based_low_cost,funding_threshold_2bps,rules,rule_based,classification,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,rule_based,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,rule_based,Rule-Based Baseline,rules,low_cost,1,cost_sensitivity_rule_based_low_cost,combined_funding_spread,rules,rule_based,classification,,missing,,,,,{},7,7,-0.001139890131692134,-0.0011157048512021595,-2.616984937562607,-0.001139890131692245,0.0,-16.284144738460412,-16.284144738460412,1.0,280000.0,83.99999999999999,7.0,0.0,0.0,-22.98901316922289,-113.98901316922289,99886.01098683078,rule_based,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,rule_based,Rule-Based Baseline,rules,low_cost,1,cost_sensitivity_rule_based_low_cost,spread_zscore_1p5,rules,rule_based,classification,,missing,,,,,{},507,507,-0.07917137160347776,-0.07755758791695866,-22.885962105978535,-0.0791713716034782,0.0,-15.615655148615016,-15.615655148615016,1.2702169625246549,20280000.0,6083.999999999999,507.0,0.0,20.35830000000003,-1326.1371603478146,-7917.137160347813,92082.86283965218,rule_based,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,low_cost,1,cost_sensitivity_baseline_ml_low_cost,ridge_regression,baseline-ml,baseline_ml,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,baseline_ml,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,low_cost,1,cost_sensitivity_baseline_ml_low_cost,logistic_regression,baseline-ml,baseline_ml,classification,,missing,,,,,{},3,3,-0.0005410370106530005,-0.0005295543504454381,-1.6946236341018497,-0.0005410370106531115,0.0,-18.034567021768517,-18.034567021768517,1.0,120000.0,35.99999999999999,3.0,0.0,0.0,-15.103701065305554,-54.10370106530555,99945.89629893469,baseline_ml,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,deep_learning,Deep Learning,dl,low_cost,1,cost_sensitivity_deep_learning_low_cost,lstm,dl,deep_learning,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,deep_learning,low_cost,3.0,1.0,1.0,0.0
cost_sensitivity,rule_based,Rule-Based Baseline,rules,base_cost,2,cost_sensitivity_rule_based_base_cost,funding_threshold_2bps,rules,rule_based,classification,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,rule_based,base_cost,5.0,3.0,2.0,0.0
cost_sensitivity,rule_based,Rule-Based Baseline,rules,base_cost,2,cost_sensitivity_rule_based_base_cost,combined_funding_spread,rules,rule_based,classification,,missing,,,,,{},7,7,-0.002328156739906384,-0.0022787885407622444,-2.6180781859871143,-0.002328156739906273,0.0,-33.25938199866055,-33.25938199866055,1.0,280000.0,140.0,14.0,0.0,0.0,-78.81567399062382,-232.81567399062385,99767.18432600937,rule_based,base_cost,5.0,3.0,2.0,0.0
cost_sensitivity,rule_based,Rule-Based Baseline,rules,base_cost,2,cost_sensitivity_rule_based_base_cost,spread_zscore_1p5,rules,rule_based,classification,,missing,,,,,{},507,507,-0.16536537181730315,-0.16215640093923722,-22.89048577117828,-0.16536537181730293,0.0,-32.61644414542463,-32.61644414542463,1.2702169625246549,20280000.0,10140.0,1014.0,0.0,20.35830000000003,-5382.537181730288,-16536.537181730288,83463.4628182697,rule_based,base_cost,5.0,3.0,2.0,0.0
cost_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,base_cost,2,cost_sensitivity_baseline_ml_base_cost,ridge_regression,baseline-ml,baseline_ml,regression,,missing,,,,,{},0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,baseline_ml,base_cost,5.0,3.0,2.0,0.0
cost_sensitivity,baseline_ml,Simple ML Baseline,baseline-ml,base_cost,2,cost_sensitivity_baseline_ml_base_cost,logistic_regression,baseline-ml,baseline_ml,classification,,missing,,,,,{},3,3,-0.001050101232486278,-0.00102782004101043,-1.7085220457921593,-0.001050101232486389,0.0,-35.003374416209134,-35.003374416209134,1.0,120000.0,60.0,6.0,0.0,0.0,-39.01012324862738,-105.0101232486274,99894.98987675137,baseline_ml,base_cost,5.0,3.0,2.0,0.0
