experiment,family_name,family_label,family_source_name,scenario_name,scenario_order,run_name,strategy_name,source,source_subtype,task,evaluation_split,status,diagnostic_reason,skip_reason,signal_threshold,signal_threshold_mode,threshold_objective,selected_threshold_objective_value,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,signal_count_by_split,trade_count,active_position_count,cumulative_return,realized_cumulative_return,annualized_return,realized_annualized_return,sharpe_ratio,simple_annualized_sharpe,raw_period_sharpe,autocorr_adjusted_sharpe,realized_sharpe_ratio,max_drawdown,realized_max_drawdown,mark_to_market_max_drawdown,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_trade_pnl_usd,expectancy_per_trade_usd,expectancy_per_trade_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,exposure_time_fraction,average_gross_leverage,max_gross_leverage,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_embedded_slippage_cost_usd,total_funding_pnl_usd,funding_contribution_share,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,realized_final_equity_usd,has_trades,strategy_detail_label,name,min_signal_score,min_confidence,min_expected_return_bps
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0,1,rule_threshold_sensitivity_rule_based_score_0,spread_zscore_1p5,rules,rule_based,classification,test,completed,,,2.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 237}",200,200,-0.06474853785395251,-0.06474853785395351,-0.06341853594380031,-0.06341853594380031,-14.07210740647856,-14.07210740647856,-0.1503512655954362,-12.912401738581721,-14.13756554511874,-0.06474853785395185,-0.06474853785395185,-0.06474853785395185,0.0,0.0,-32.37426892697597,-32.56414006936874,-32.37426892697597,-32.37426892697597,-32.37426892697597,1.185,1.0,200,0.026477488548765502,0.0052954977097531,0.2,8000000.0,4000.0,400.0,0.0,2399.9999999999995,7.913600000000001,0.0012222052052897425,-2074.853785395194,-6474.853785395195,93525.14621460481,93525.14621460481,True,rule_based | static | thr=2,score_0,0.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0,1,rule_threshold_sensitivity_rule_based_score_0,combined_funding_spread,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,0.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=0,score_0,0.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0,1,rule_threshold_sensitivity_rule_based_score_0,funding_threshold_2bps,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,3.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=3,score_0,0.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0p5,2,rule_threshold_sensitivity_rule_based_score_0p5,spread_zscore_1p5,rules,rule_based,classification,test,completed,,,2.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 237}",65,65,-0.020764878024548628,-0.02076487802454796,-0.02032857099792884,-0.02032857099792884,-7.954850991865106,-7.954850991865106,-0.08499238100608879,-7.2013624005226555,-7.996119487945408,-0.020764878024548183,-0.020764878024548183,-0.020764878024548183,0.0,0.0,-31.9459661916127,-32.30870776819209,-31.9459661916127,-31.9459661916127,-31.9459661916127,1.1692307692307693,1.0,65,0.0084906714333594,0.0016981342866718803,0.2,2600000.0,1300.0,130.0,0.0,779.9999999999999,3.2375,0.0015591230519980057,-646.4878024548259,-2076.4878024548257,97923.51219754518,97923.51219754518,True,rule_based | static | thr=2,score_0p5,0.5,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0p5,2,rule_threshold_sensitivity_rule_based_score_0p5,combined_funding_spread,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,0.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=0,score_0p5,0.5,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_0p5,2,rule_threshold_sensitivity_rule_based_score_0p5,funding_threshold_2bps,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,3.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=3,score_0p5,0.5,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_1p0,3,rule_threshold_sensitivity_rule_based_score_1p0,spread_zscore_1p5,rules,rule_based,classification,test,completed,,,2.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 237}",25,25,-0.007866914217520504,-0.007866914217520282,-0.007700551798431876,-0.007700551798431876,-4.912001675770943,-4.912001675770943,-0.052481525845877224,-4.630700323829837,-4.943609403147712,-0.007866914217520726,-0.007866914217520726,-0.007866914217520726,0.0,0.0,-31.467656870082834,-32.13469621740403,-31.467656870082834,-31.467656870082834,-31.467656870082834,1.12,1.0,25,0.003128142107027148,0.0006256284214054296,0.2,1000000.0,500.0,50.0,0.0,299.99999999999994,1.0,0.0012711464398237132,-236.69142175207085,-786.6914217520708,99213.30857824793,99213.30857824793,True,rule_based | static | thr=2,score_1p0,1.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_1p0,3,rule_threshold_sensitivity_rule_based_score_1p0,combined_funding_spread,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,0.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=0,score_1p0,1.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_1p0,3,rule_threshold_sensitivity_rule_based_score_1p0,funding_threshold_2bps,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,3.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=3,score_1p0,1.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_2p0,4,rule_threshold_sensitivity_rule_based_score_2p0,spread_zscore_1p5,rules,rule_based,classification,test,completed,,,2.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 237}",4,4,-0.0011447957239713036,-0.0011447957239711926,-0.0011205064189232505,-0.0011205064189232505,-1.9741751575326405,-1.9741751575326405,-0.021092770604170585,-1.984590854730017,-1.973949964687725,-0.0011447957239711926,-0.0011447957239711926,-0.0011447957239711926,0.0,0.0,-28.61989309927999,-28.636345347468144,-28.61989309927999,-28.61989309927999,-28.61989309927999,1.0,1.0,4,0.0004468774438610211,8.937548877220423e-05,0.2,160000.0,80.0,8.0,0.0,47.99999999999999,0.0,0.0,-26.479572397119966,-114.47957239711997,99885.52042760288,99885.52042760288,True,rule_based | static | thr=2,score_2p0,2.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_2p0,4,rule_threshold_sensitivity_rule_based_score_2p0,combined_funding_spread,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,0.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=0,score_2p0,2.0,,
rule_threshold_sensitivity,rule_based,Rule-Based Baseline,rules,score_2p0,4,rule_threshold_sensitivity_rule_based_score_2p0,funding_threshold_2bps,rules,rule_based,classification,test,no_tradable_signals,test: signal_count == 0 for split 'test'.,test: signal_count == 0 for split 'test'.,3.0,constant,avg_signal_return_bps,,static,none,not_applicable,{},,,,,False,,,False,,,,"{""test"": 0}",0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,False,rule_based | static | thr=3,score_2p0,2.0,,
